experiment,name,chunk_size,chunk_overlap,k,search_type,fetch_k,lambda_mult,provider,context_recall,llm_context_precision_with_reference,faithfulness,answer_relevancy,factual_correctness(mode=f1),semantic_similarity,mrr
chunk_1500,chunk_1500,1500,300,5,similarity,20,0.5,groq,0.3333333333333333,0.249999999975,0.25,0.5096680912797279,0.625,0.7127854495663265,0.75
k_8,k_8,1000,200,8,similarity,20,0.5,groq,0.6666666666666666,0.3333333333,0.3333333333333333,0.645294978812319,0.4,0.7145376659824878,0.75
