experiment,name,chunk_size,chunk_overlap,k,search_type,fetch_k,lambda_mult,provider,context_recall,llm_context_precision_with_reference,faithfulness,answer_relevancy,factual_correctness(mode=f1),semantic_similarity,mrr
baseline,baseline,1000,200,5,similarity,20,0.5,groq,0.6,0.6076923076315384,0.39285714285714285,0.5673699436317913,0.4027586206896552,0.7078430052317211,0.7780952380952382
chunk_500,chunk_500,500,100,5,similarity,20,0.5,groq,0.5714285714285714,0.44027777773805554,0.19230769230769232,0.49011850114564265,0.2906451612903226,0.6610057971592074,0.6619047619047619
chunk_1500,chunk_1500,1500,300,5,similarity,20,0.5,groq,0.6666666666666666,0.3736111110786574,0.26,0.5593899267122536,0.26333333333333336,0.6568233515164963,0.7885714285714286
search_mmr_balanced,search_mmr_balanced,1000,200,5,mmr,20,0.5,groq,0.7307692307692307,0.59999999994,0.4230769230769231,0.5503924460327034,0.18676470588235294,0.7251763117082728,0.7623809523809524
search_mmr_relevant,search_mmr_relevant,1000,200,5,mmr,20,0.8,groq,0.8076923076923077,0.5962962962412963,0.2222222222222222,0.5198842209186451,0.22428571428571428,0.6867691294606856,0.7695238095238095
