experiment,name,chunk_size,chunk_overlap,k,search_type,fetch_k,lambda_mult,provider,context_recall,llm_context_precision_with_reference,faithfulness,answer_relevancy,factual_correctness(mode=f1),semantic_similarity,mrr
baseline,baseline,1000,200,5,similarity,20,0.5,groq,1.0,0.33333333331041665,0.75,0.6480436145053246,0.22333333333333336,0.8990565242352423,0.625
chunk_500,chunk_500,500,100,5,similarity,20,0.5,groq,0.0,0.49999999995,0.0,0.2972744721921863,0.5,0.7324887789687503,0.375
chunk_1500,chunk_1500,1500,300,5,similarity,20,0.5,groq,0.5,0.249999999975,0.5,0.6938259024622477,0.45,0.7292830893300243,0.75
k_3,k_3,1000,200,3,similarity,20,0.5,groq,0.6666666666666666,0.6249999999375,0.3333333333333333,0.5380920175014912,0.3333333333333333,0.8797220258099486,0.75
k_8,k_8,1000,200,8,similarity,20,0.5,groq,1.0,nan,0.75,0.5290953148703449,0.0,0.7371616458445255,0.75
search_mmr_balanced,search_mmr_balanced,1000,200,5,mmr,20,0.5,groq,0.6666666666666666,nan,0.3333333333333333,0.6608374697193944,0.734,0.7626543813746612,0.75
search_mmr_relevant,search_mmr_relevant,1000,200,5,mmr,20,0.8,groq,0.75,0.49999999995,0.4,0.758896496885053,0.16666666666666666,0.8974838294593043,0.75
search_mmr_diverse,search_mmr_diverse,1000,200,5,mmr,20,0.2,groq,1.0,0.6249999999375,0.25,0.8560907773325401,0.4,0.8921284390009073,0.75
